id,usuario,nombre,apellido,email,password,tema,status,creacion,id,id_alumno,id_aplicacion,carrera,promedio_anterior,semestre,materias,transporte,familiares,trabajo,beca,sexo,edad,estado_civil
2512,est1_135947499736,Estudiante1,Hibrido1,estudiante1@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,786,2512,3,IINF,84.8,10,5,2,0,0,0,M,21,Soltero
2513,est2_135947503351,Estudiante2,Hibrido2,estudiante2@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,787,2513,3,ISC,81.4,9,8,1,0,0,1,F,18,Soltero
2514,est3_135947513362,Estudiante3,Hibrido3,estudiante3@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,788,2514,3,ISC,87.8,7,4,3,0,0,1,M,28,Soltero
2515,est4_135947515362,Estudiante4,Hibrido4,estudiante4@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,789,2515,3,IGE,77.6,7,7,2,0,0,1,M,21,Soltero
2516,est5_135947525175,Estudiante5,Hibrido5,estudiante5@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,790,2516,3,IINF,86.7,1,6,1,0,1,0,M,25,Soltero
2517,est6_135947529478,Estudiante6,Hibrido6,estudiante6@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,791,2517,3,IINF,85.4,7,4,3,0,1,0,M,24,Soltero
2518,est7_135947531479,Estudiante7,Hibrido7,estudiante7@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,792,2518,3,ICD,70.7,6,7,3,0,0,0,M,21,Soltero
2519,est8_135947533480,Estudiante8,Hibrido8,estudiante8@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,793,2519,3,IGE,77.7,5,5,2,0,0,0,M,18,Casado
2520,est9_135947536484,Estudiante9,Hibrido9,estudiante9@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,794,2520,3,ICD,90.5,1,6,2,0,0,0,F,26,Casado
2521,est10_135947538835,Estudiante10,Hibrido10,estudiante10@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,795,2521,3,ICD,74.8,3,4,3,0,1,0,M,27,Soltero
2522,est11_135947540843,Estudiante11,Hibrido11,estudiante11@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,796,2522,3,IINF,91.6,1,6,1,0,0,0,F,27,Soltero
2523,est12_135947543913,Estudiante12,Hibrido12,estudiante12@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,797,2523,3,ISC,78.1,9,6,1,0,0,0,F,25,Soltero
2524,est13_135947545101,Estudiante13,Hibrido13,estudiante13@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,798,2524,3,IGE,76.8,8,5,1,0,1,1,M,18,Soltero
2525,est14_135947547109,Estudiante14,Hibrido14,estudiante14@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,799,2525,3,ISC,75.3,9,7,2,0,0,0,F,19,Soltero
2526,est15_135947549117,Estudiante15,Hibrido15,estudiante15@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,800,2526,3,ICD,77.6,8,4,3,0,1,0,M,23,Soltero
2527,est16_135947551231,Estudiante16,Hibrido16,estudiante16@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,801,2527,3,ICD,77.5,4,4,2,0,0,0,M,20,Soltero
2528,est17_135947553238,Estudiante17,Hibrido17,estudiante17@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,802,2528,3,ICD,84.1,1,4,3,0,0,0,F,18,Casado
