id,usuario,nombre,apellido,email,nocontrol,fechan,sexo,estadoc,ciudad,carrera,promedio_anterior,semestre,materias,transporte,familiares,trabajo,beca
2012,alumno1_220323367251,Alumno1,Test1,alumno1_89893@test.com,20201000,2005-02-02,M,Soltero,Orizaba,IINF,84.8,10,5,2,1,0,0
2013,alumno2_220323382217,Alumno2,Test2,alumno2_45143@test.com,20201000,2008-02-02,F,Soltero,Orizaba,ISC,81.4,9,8,1,0,0,1
2014,alumno3_220323391946,Alumno3,Test3,alumno3_79612@test.com,20201000,1998-02-04,M,Soltero,Orizaba,ISC,87.8,7,4,3,0,0,1
2015,alumno4_220323394075,Alumno4,Test4,alumno4_13159@test.com,20201000,2005-02-02,M,Soltero,Orizaba,IGE,77.6,7,7,2,1,0,1
2016,alumno5_220323402485,Alumno5,Test5,alumno5_31590@test.com,20201000,2001-02-03,M,Soltero,Orizaba,IINF,86.7,1,6,1,1,1,0
2017,alumno6_220323409845,Alumno6,Test6,alumno6_56184@test.com,20201000,2002-02-03,M,Soltero,Orizaba,IINF,85.4,7,4,3,3,1,0
2018,alumno7_220323410849,Alumno7,Test7,alumno7_92461@test.com,20201000,2005-02-02,M,Soltero,Orizaba,ICD,70.7,6,7,3,0,0,0
2019,alumno8_220323410849,Alumno8,Test8,alumno8_20453@test.com,20201000,2008-02-02,M,Casado,Orizaba,IGE,77.7,5,5,2,3,0,0
2020,alumno9_220323411880,Alumno9,Test9,alumno9_27091@test.com,20201000,2000-02-04,F,Casado,Orizaba,ICD,90.5,1,6,2,1,0,0
2021,alumno10_220323412890,Alumno10,Test10,alumno10_62068@test.com,20201000,1999-02-04,M,Soltero,Orizaba,ICD,74.8,3,4,3,3,1,0
2022,alumno11_220323413918,Alumno11,Test11,alumno11_47017@test.com,20201001,1999-02-04,F,Soltero,Orizaba,IINF,91.6,1,6,1,3,0,0
2023,alumno12_220323414948,Alumno12,Test12,alumno12_13545@test.com,20201001,2001-02-03,F,Soltero,Orizaba,ISC,78.1,9,6,1,0,0,0
2024,alumno13_220323416004,Alumno13,Test13,alumno13_90681@test.com,20201001,2008-02-02,M,Soltero,Orizaba,IGE,76.8,8,5,1,3,1,1
2025,alumno14_220323418017,Alumno14,Test14,alumno14_16740@test.com,20201001,2007-02-02,F,Soltero,Orizaba,ISC,75.3,9,7,2,3,0,0
2026,alumno15_220323419034,Alumno15,Test15,alumno15_66300@test.com,20201001,2003-02-03,M,Soltero,Orizaba,ICD,77.6,8,4,3,3,1,0
2027,alumno16_220323420064,Alumno16,Test16,alumno16_95677@test.com,20201001,2006-02-02,M,Soltero,Orizaba,ICD,77.5,4,4,2,2,0,0
2028,alumno17_220323421066,Alumno17,Test17,alumno17_99585@test.com,20201001,2008-02-02,F,Casado,Orizaba,ICD,84.1,1,4,3,3,0,0
2029,alumno18_220323423067,Alumno18,Test18,alumno18_15195@test.com,20201001,1999-02-04,F,Soltero,Orizaba,ISC,71.6,1,5,0,0,0,0
2030,alumno19_220323425066,Alumno19,Test19,alumno19_56644@test.com,20201001,2002-02-03,F,Soltero,Orizaba,IINF,88.4,10,8,2,0,1,0
2031,alumno20_220323426520,Alumno20,Test20,alumno20_87152@test.com,20201001,2002-02-03,F,Soltero,Orizaba,IGE,87.9,1,7,0,1,0,1
2032,alumno21_220323428814,Alumno21,Test21,alumno21_78788@test.com,20201002,2008-02-02,F,Soltero,Orizaba,ISC,73.8,3,7,2,0,0,0
2033,alumno22_220323430815,Alumno22,Test22,alumno22_43518@test.com,20201002,2000-02-04,F,Soltero,Orizaba,ICD,71.0,7,5,0,3,1,0
2034,alumno23_220323432814,Alumno23,Test23,alumno23_45195@test.com,20201002,1999-02-04,F,Soltero,Orizaba,ICD,89.2,4,6,3,2,1,0
2035,alumno24_220323433815,Alumno24,Test24,alumno24_98194@test.com,20201002,2001-02-03,M,Casado,Orizaba,IINF,82.0,4,7,3,2,0,1
2036,alumno25_220323435815,Alumno25,Test25,alumno25_66846@test.com,20201002,1998-02-04,M,Soltero,Orizaba,ISC,91.0,2,6,1,1,0,0
2037,alumno26_220323437280,Alumno26,Test26,alumno26_51257@test.com,20201002,2007-02-02,M,Soltero,Orizaba,IGE,78.8,3,7,3,3,0,1
2038,alumno27_220323439727,Alumno27,Test27,alumno27_10712@test.com,20201002,2001-02-03,F,Soltero,Orizaba,IGE,81.0,3,7,2,2,1,0
2039,alumno28_220323441742,Alumno28,Test28,alumno28_46824@test.com,20201002,2001-02-03,M,Soltero,Orizaba,ISC,80.2,10,4,1,1,0,0
2040,alumno29_220323443754,Alumno29,Test29,alumno29_72875@test.com,20201002,2008-02-02,M,Casado,Orizaba,IGE,94.9,9,7,2,2,0,0
2041,alumno30_220323444760,Alumno30,Test30,alumno30_95235@test.com,20201002,2003-02-03,F,Soltero,Orizaba,IINF,92.7,9,6,3,2,0,0
2042,alumno31_220323445765,Alumno31,Test31,alumno31_12953@test.com,20201003,2001-02-03,M,Soltero,Orizaba,IINF,86.5,2,6,0,1,0,0
2043,alumno32_220323446777,Alumno32,Test32,alumno32_22695@test.com,20201003,2004-02-03,M,Soltero,Orizaba,IGE,80.2,4,6,0,3,1,1
2044,alumno33_220323447796,Alumno33,Test33,alumno33_81328@test.com,20201003,1999-02-04,F,Soltero,Orizaba,IGE,84.9,7,8,2,0,0,0
2045,alumno34_220323448822,Alumno34,Test34,alumno34_95857@test.com,20201003,2008-02-02,F,Soltero,Orizaba,IINF,86.3,10,4,2,1,0,0
2046,alumno35_220323449827,Alumno35,Test35,alumno35_22671@test.com,20201003,2000-02-04,M,Soltero,Orizaba,ISC,93.2,5,5,2,1,0,1
2047,alumno36_220323450833,Alumno36,Test36,alumno36_16616@test.com,20201003,2006-02-02,M,Soltero,Orizaba,ICD,77.9,1,6,1,0,0,0
2048,alumno37_220323451837,Alumno37,Test37,alumno37_74897@test.com,20201003,2003-02-03,F,Soltero,Orizaba,ISC,82.5,4,4,2,1,0,1
2049,alumno38_220323453888,Alumno38,Test38,alumno38_75032@test.com,20201003,2007-02-02,F,Soltero,Orizaba,ISC,91.9,8,6,1,3,0,0
2050,alumno39_220323455207,Alumno39,Test39,alumno39_75964@test.com,20201003,2006-02-02,F,Soltero,Orizaba,IGE,86.8,3,8,2,2,0,0
2051,alumno40_220323456270,Alumno40,Test40,alumno40_71567@test.com,20201003,1998-02-04,F,Soltero,Orizaba,ISC,85.3,5,5,0,2,0,0
2052,alumno41_220323458282,Alumno41,Test41,alumno41_56597@test.com,20201004,2006-02-02,M,Soltero,Orizaba,ISC,84.9,7,4,1,3,0,0
2053,alumno42_220323459304,Alumno42,Test42,alumno42_36612@test.com,20201004,2003-02-03,M,Soltero,Orizaba,IINF,85.2,4,4,0,1,0,0
2054,alumno43_220323460382,Alumno43,Test43,alumno43_60994@test.com,20201004,2005-02-02,M,Soltero,Orizaba,ICD,73.9,3,4,3,2,0,0
2055,alumno44_220323461479,Alumno44,Test44,alumno44_49914@test.com,20201004,2003-02-03,F,Soltero,Orizaba,ISC,79.2,9,4,0,0,0,0
2056,alumno45_220323462485,Alumno45,Test45,alumno45_28820@test.com,20201004,2005-02-02,F,Soltero,Orizaba,IINF,74.7,2,7,0,0,0,0
2057,alumno46_220323463503,Alumno46,Test46,alumno46_51374@test.com,20201004,2005-02-02,M,Soltero,Orizaba,ICD,80.0,9,7,1,2,1,0
2058,alumno47_220323464509,Alumno47,Test47,alumno47_98782@test.com,20201004,2003-02-03,F,Casado,Orizaba,IINF,80.1,2,8,3,0,1,0
2059,alumno48_220323465514,Alumno48,Test48,alumno48_60458@test.com,20201004,1998-02-04,M,Casado,Orizaba,IGE,75.3,7,8,3,3,1,0
2060,alumno49_220323466519,Alumno49,Test49,alumno49_62204@test.com,20201004,2007-02-02,M,Soltero,Orizaba,IINF,92.1,10,6,3,3,0,0
