carrera,promedio_anterior,semestre,materias,transporte,trabajo,beca,sexo,edad,estado_civil,carrera_cod,sexo_cod,estado_civil_cod,suma_ansiedad,nivel_ansiedad
IINF,84.8,10,5,2,0,0,M,21,Soltero,2,0,1,2,Bajo
ISC,81.4,9,8,1,0,1,F,18,Soltero,3,1,1,9,Alto
ISC,87.8,7,4,3,0,1,M,28,Soltero,3,0,1,0,Bajo
IGE,77.6,7,7,2,0,1,M,21,Soltero,1,0,1,0,Bajo
IINF,86.7,1,6,1,1,0,M,25,Soltero,2,0,1,2,Bajo
IINF,85.4,7,4,3,1,0,M,24,Soltero,2,0,1,4,Bajo
ICD,70.7,6,7,3,0,0,M,21,Soltero,0,0,1,1,Bajo
IGE,77.7,5,5,2,0,0,M,18,Casado,1,0,0,2,Bajo
ICD,90.5,1,6,2,0,0,F,26,Casado,0,1,0,6,Medio
ICD,74.8,3,4,3,1,0,M,27,Soltero,0,0,1,5,Bajo
IINF,91.6,1,6,1,0,0,F,27,Soltero,2,1,1,2,Bajo
ISC,78.1,9,6,1,0,0,F,25,Soltero,3,1,1,0,Bajo
IGE,76.8,8,5,1,1,1,M,18,Soltero,1,0,1,3,Bajo
ISC,75.3,9,7,2,0,0,F,19,Soltero,3,1,1,3,Bajo
ICD,77.6,8,4,3,1,0,M,23,Soltero,0,0,1,5,Bajo
ICD,77.5,4,4,2,0,0,M,20,Soltero,0,0,1,3,Bajo
ICD,84.1,1,4,3,0,0,F,18,Casado,0,1,0,0,Bajo
ISC,71.6,1,5,0,0,0,F,27,Soltero,3,1,1,0,Bajo
IINF,88.4,10,8,2,1,0,F,24,Soltero,2,1,1,7,Medio
IGE,87.9,1,7,0,0,1,F,24,Soltero,1,1,1,0,Bajo
ISC,73.8,3,7,2,0,0,F,18,Soltero,3,1,1,10,Alto
ICD,71.0,7,5,0,1,0,F,26,Soltero,0,1,1,6,Medio
ICD,89.2,4,6,3,1,0,F,27,Soltero,0,1,1,4,Bajo
IINF,82.0,4,7,3,0,1,M,25,Casado,2,0,0,0,Bajo
ISC,91.0,2,6,1,0,0,M,28,Soltero,3,0,1,1,Bajo
IGE,78.8,3,7,3,0,1,M,19,Soltero,1,0,1,3,Bajo
IGE,81.0,3,7,2,1,0,F,25,Soltero,1,1,1,1,Bajo
ISC,80.2,10,4,1,0,0,M,25,Soltero,3,0,1,4,Bajo
IGE,94.9,9,7,2,0,0,M,18,Casado,1,0,0,0,Bajo
IINF,92.7,9,6,3,0,0,F,23,Soltero,2,1,1,2,Bajo
IINF,86.5,2,6,0,0,0,M,25,Soltero,2,0,1,4,Bajo
IGE,80.2,4,6,0,1,1,M,22,Soltero,1,0,1,4,Bajo
IGE,84.9,7,8,2,0,0,F,27,Soltero,1,1,1,0,Bajo
IINF,86.3,10,4,2,0,0,F,18,Soltero,2,1,1,0,Bajo
ISC,93.2,5,5,2,0,1,M,26,Soltero,3,0,1,0,Bajo
ICD,77.9,1,6,1,0,0,M,20,Soltero,0,0,1,6,Medio
ISC,82.5,4,4,2,0,1,F,23,Soltero,3,1,1,6,Medio
ISC,91.9,8,6,1,0,0,F,19,Soltero,3,1,1,8,Alto
IGE,86.8,3,8,2,0,0,F,20,Soltero,1,1,1,4,Bajo
ISC,85.3,5,5,0,0,0,F,28,Soltero,3,1,1,3,Bajo
ISC,84.9,7,4,1,0,0,M,20,Soltero,3,0,1,2,Bajo
IINF,85.2,4,4,0,0,0,M,23,Soltero,2,0,1,5,Bajo
ICD,73.9,3,4,3,0,0,M,21,Soltero,0,0,1,2,Bajo
ISC,79.2,9,4,0,0,0,F,23,Soltero,3,1,1,0,Bajo
IINF,74.7,2,7,0,0,0,F,21,Soltero,2,1,1,0,Bajo
ICD,80.0,9,7,1,1,0,M,21,Soltero,0,0,1,2,Bajo
IINF,80.1,2,8,3,1,0,F,23,Casado,2,1,0,4,Bajo
IGE,75.3,7,8,3,1,0,M,28,Casado,1,0,0,1,Bajo
IINF,92.1,10,6,3,0,0,M,19,Soltero,2,0,1,0,Bajo
ISC,85.2,2,6,0,0,0,M,28,Soltero,3,0,1,10,Alto
ISC,92.6,3,5,3,0,0,M,26,Soltero,3,0,1,3,Bajo
IGE,71.1,8,8,3,0,0,F,18,Soltero,1,1,1,4,Bajo
ISC,73.5,6,6,0,1,0,F,25,Soltero,3,1,1,10,Alto
